id,name,slug,description,articles,caseStudies,nodes,total
category-ai,AI,ai,,0,0,0,0
wp.category.406,Career Engineering,career-engineering,,0,0,6,6
wp.category.291,Content Architecture,content-architecture,,4,3,3,10
wp.category.290,Design Systems,design-systems,,2,1,7,10
wp.category.405,Documentation,documentation,,0,0,0,0
5497aabf-7a7f-4963-a7d1-792f6a6bf358,E-Commerce,e-commerce,,0,1,0,1
wp.category.295,Engineering & DX,engineering-dx,,1,0,9,10
wp.category.417,Governance,governance,,1,0,15,16
wp.category.292,Product & Platform Strategy,product-platform-strategy,,2,4,4,10
ad2ef784-5f58-40e1-af14-bacf16c235f9,Project Management,project-management,,0,1,0,1
wp.category.296,Sugartown Notes,sugartown-notes,,1,0,2,3
wp.category.412,Visualization,visualization,,0,0,4,4
wp.category.297,Ways of Working,ways-of-working,,0,2,5,7
